Rank,Mark,Competitor,Date_of_Birth,Nationality,Venue,Date,Results_Score,Year
51,214.05700000000002,Vincent CIATTEI,1995-01-21,USA,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1181,2021
52,214.058,Anass ESSAYI,2001-05-18,MAR,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1180,2021
53,214.062,Piers COPELAND,1998-11-26,GBR,"Stade Delort, Marseille (FRA)",09 JUN 2021,1180,2021
54,214.064,Robert FARKEN,1997-09-20,GER,"Eintracht-Stadion, Braunschweig (GER)",06 JUN 2021,1180,2021
55,214.06799999999998,Yared NUGUSE,1999-06-01,USA,"Paul Derr TF Facility, Raleigh, NC (USA)",13 MAY 2021,1179,2021
56,214.072,Samuel TANNER,2000-08-24,NZL,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1232,2021
57,215.02100000000002,Vincent Kibet KETER,2002-03-11,KEN,"Sollentunavallen, Sollentuna (SWE)",13 JUN 2021,1172,2021
57,215.02100000000002,Jochem VERMEULEN,1998-08-02,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1172,2021
59,215.024,Amos BARTELSMEYER,1994-07-25,GER,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1171,2021
60,215.026,Boaz KIPRUGUT,1998-05-18,KEN,"Stadion Juliska, Praha (CZE)",07 JUN 2021,1171,2021
61,215.03199999999998,Luis GRIJALVA,1999-04-10,GUA,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1170,2021
62,215.041,Nick WILLIS,1983-04-25,NZL,"National Stadium, Tokyo (JPN)",05 AUG 2021,1169,2021
63,215.042,William PAULSON,1994-11-17,CAN,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1169,2021
63,215.042,Kazuki KAWAMURA,1997-11-13,JPN,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1169,2021
65,215.04500000000002,Mason FERLIC,1993-08-05,USA,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1168,2021
66,215.049,Eliud KIPSANG,1996-09-09,KEN,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",28 MAY 2021,1168,2021
67,215.054,Getnet WALE,2000-07-16,ETH,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",14 FEB 2021,1220,2021
68,215.059,James WEST,1996-01-30,GBR,"Hayward Field, Eugene, OR (USA)",13 JUN 2021,1166,2021
69,215.06,Lamecha GIRMA,2000-11-26,ETH,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",14 FEB 2021,1219,2021
69,215.06,Eric AVILA,1989-10-03,USA,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1166,2021
71,215.063,Rob NAPOLITANO,1994-11-03,PUR,"Griswold Stadium, Portland, OR (USA)",03 JUN 2021,1166,2021
72,215.066,Andrew COSCORAN,1996-06-18,IRL,"Sollentunavallen, Sollentuna (SWE)",13 JUN 2021,1165,2021
73,215.07,Jesús GÓMEZ,1991-04-24,ESP,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1165,2021
74,215.079,Neil GOURLEY,1995-02-07,GBR,"Arena, Toruń (POL) (i)",17 FEB 2021,1216,2021
74,215.079,Mario GARCÍA,1999-06-29,ESP,Castellón (ESP),29 JUN 2021,1164,2021
76,215.082,Santiago CATROFE,1999-02-13,URU,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1163,2021
76,215.082,Filip SASÍNEK,1996-01-08,CZE,"Stadio Comunale, Bellinzona (SUI)",14 SEP 2021,1163,2021
78,215.088,Joshua THOMPSON,1993-05-09,USA,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1162,2021
78,215.088,Marius PROBST,1995-08-20,GER,"Eintracht-Stadion, Braunschweig (GER)",06 JUN 2021,1162,2021
80,215.097,Cooper TEARE,1999-08-18,USA,"Hayward Field, Eugene, OR (USA)",07 MAY 2021,1161,2021
80,215.097,Jimmy GRESSIER,1997-05-04,FRA,"Stade Delort, Marseille (FRA)",09 JUN 2021,1161,2021
82,216.003,Alexis MIELLET,1995-05-05,FRA,"Stade Delort, Marseille (FRA)",09 JUN 2021,1160,2021
83,216.015,Vincent KIBET,1991-05-06,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1159,2021
83,216.015,Peter CALLAHAN,1991-06-01,BEL,"McKenzie Community Track, Vida, OR (USA)",22 JUN 2021,1159,2021
85,216.018,Federico BRUNO,1993-06-18,ARG,Castellón (ESP),29 JUN 2021,1158,2021
86,216.019,Jakub HOLUŠA,1988-02-20,CZE,"Stadion Juliska, Praha (CZE)",07 JUN 2021,1158,2021
86,216.019,Salim KEDDAR,1993-11-23,ALG,"Stade Du Moulin Boisseau, Carquefou (FRA)",11 JUN 2021,1158,2021
88,216.028,Marc SCOTT,1993-12-21,GBR,"Irvine, CA (USA)",15 MAY 2021,1157,2021
89,216.031,George MILLS,1999-05-12,GBR,"Stade Delort, Marseille (FRA)",09 JUN 2021,1157,2021
90,216.036,Samuel PRAKEL,1994-10-29,USA,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1208,2021
91,216.037,Bram ANDERIESSEN,1999-08-01,NED,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1156,2021
92,216.042,Rorey HUNTER,1993-02-02,AUS,"Stade Raymond Troussier, Decines (FRA)",19 JUN 2021,1155,2021
93,216.04399999999998,Carlos MAYO,1995-09-18,ESP,"Estadi Joan Serrahima, Barcelona (ESP)",01 JUL 2021,1155,2021
94,216.048,Paul RYAN,1997-05-29,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",25 JUL 2021,1154,2021
95,216.052,Grant FISHER,1997-04-22,USA,"Irvine, CA (USA)",15 MAY 2021,1154,2021
96,216.053,Waleed SULIMAN,1998-09-22,USA,"Ole Miss T&F Complex, Oxford, MS (USA)",10 APR 2021,1154,2021
97,216.062,Eric HOLT,1995-05-12,USA,"Griswold Stadium, Portland, OR (USA)",03 JUN 2021,1152,2021
98,216.063,István SZÖGI,1995-09-12,HUN,"Stade des Grands Pêchers, Montreuil (FRA)",01 JUN 2021,1152,2021
99,216.065,Joao BUSSOTTI NEVES,1993-05-10,ITA,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1152,2021
100,216.07,David RIBICH,1995-12-27,USA,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1151,2021
1,208.04500000000002,Timothy CHERUIYOT,1995-11-20,KEN,"Stade Louis II, Monaco (MON)",14 AUG 2020,1267,2020
2,208.068,Jakob INGEBRIGTSEN,2000-09-19,NOR,"Stade Louis II, Monaco (MON)",14 AUG 2020,1264,2020
3,209.047,Jake WIGHTMAN,1994-07-11,GBR,"Stade Louis II, Monaco (MON)",14 AUG 2020,1252,2020
4,210.035,Filip INGEBRIGTSEN,1993-04-20,NOR,"Stade Louis II, Monaco (MON)",14 AUG 2020,1240,2020
5,210.051,Stewart MCSWEYN,1995-06-01,AUS,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1237,2020
6,212.06900000000002,Yomif KEJELCHA,1997-08-01,ETH,"Stade Louis II, Monaco (MON)",14 AUG 2020,1207,2020
7,212.097,Selemon BAREGA,2000-01-20,ETH,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1203,2020
8,213.007,Jesús GÓMEZ,1991-04-24,ESP,"Stade Louis II, Monaco (MON)",14 AUG 2020,1201,2020
9,213.04500000000002,Soufiane EL BAKKALI,1996-01-07,MAR,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1196,2020
10,213.072,Ignacio FONTES,1998-06-22,ESP,Castellón (ESP),24 AUG 2020,1192,2020
11,213.077,Lamecha GIRMA,2000-11-26,ETH,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1192,2020
12,213.099,Marcin LEWANDOWSKI,1987-06-13,POL,"Stade Louis II, Monaco (MON)",14 AUG 2020,1189,2020
13,214.007,James WEST,1996-01-30,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1187,2020
14,214.014,Kumari TAKI,1999-05-06,KEN,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1186,2020
15,214.053,Josh KERR,1997-10-08,GBR,"Newberg, OR (USA)",31 JUL 2020,1181,2020
16,214.063,Charlie DA'VALL GRICE,1993-11-07,GBR,"Stade Louis II, Monaco (MON)",14 AUG 2020,1180,2020
16,214.063,Oliver HOARE,1997-01-29,AUS,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1180,2020
18,214.077,Joshua THOMPSON,1993-05-09,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1231,2020
19,214.083,Matthew RAMSDEN,1997-07-23,AUS,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1177,2020
20,214.089,Mohammed AHMED,1991-01-05,CAN,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1176,2020
21,214.098,Saúl ORDÓÑEZ,1994-04-10,ESP,Castellón (ESP),24 AUG 2020,1175,2020
22,215.0,Pierrik JOCTEUR-MONROZIER,1998-03-23,FRA,"Stade Louis II, Monaco (MON)",14 AUG 2020,1175,2020
23,215.002,Filip SASÍNEK,1996-01-08,CZE,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1174,2020
24,215.007,Elzan BIBIĆ,1999-01-08,SRB,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1174,2020
25,215.022,Ryan GREGSON,1990-04-26,AUS,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1172,2020
26,215.026,Yemaneberhan CRIPPA,1996-10-15,ITA,"Stadio Quercia, Rovereto (ITA)",05 AUG 2020,1171,2020
27,215.03199999999998,Piers COPELAND,1998-11-26,GBR,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1170,2020
28,215.034,Kalle BERGLUND,1996-03-11,SWE,"Stade Louis II, Monaco (MON)",14 AUG 2020,1170,2020
29,215.042,Craig ENGELS,1994-05-01,USA,"Stade Louis II, Monaco (MON)",14 AUG 2020,1169,2020
30,215.043,Abel KIPSANG,1996-11-22,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 OCT 2020,1169,2020
31,215.054,Samuel TEFERA,1999-10-23,ETH,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2020,1220,2020
32,215.059,William PAULSON,1994-11-17,CAN,"Newberg, OR (USA)",31 JUL 2020,1166,2020
33,215.06,Adam Ali MUSAB,1995-04-17,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1166,2020
34,215.085,Donavan BRAZIER,1997-04-15,USA,"Jesuit High School Track, Portland, OR (USA)",03 JUL 2020,1163,2020
35,215.087,Azeddine HABZ,1993-07-19,FRA,"Stade Delort, Marseille (FRA)",03 SEP 2020,1163,2020
36,215.09,Fernando CARRO,1992-04-01,ESP,Castellón (ESP),24 AUG 2020,1162,2020
37,215.09300000000002,Marc SCOTT,1993-12-21,GBR,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1162,2020
38,215.098,Kevin LÓPEZ,1990-06-12,ESP,"Stade Delort, Marseille (FRA)",03 SEP 2020,1161,2020
39,216.001,Mike FOPPEN,1996-11-29,NED,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1161,2020
40,216.004,Jimmy GRESSIER,1997-05-04,FRA,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1160,2020
41,216.011,John GREGOREK,1991-12-07,USA,"Bethel HS, Bethel, CT (USA)",13 SEP 2020,1159,2020
42,216.013,Justyn KNIGHT,1996-07-19,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",28 FEB 2020,1211,2020
43,216.014,Quentin TISON,1996-04-16,FRA,"Stade des Maradas, Cergy-Pontoise (FRA)",19 SEP 2020,1159,2020
44,216.022,Bethwell BIRGEN,1988-08-06,KEN,"Emirates Arena, Glasgow (GBR) (i)",15 FEB 2020,1210,2020
45,216.023,Grant FISHER,1997-04-22,USA,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1158,2020
46,216.031,Evan JAGER,1989-03-08,USA,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1157,2020
47,216.035,Vincent CIATTEI,1995-01-21,USA,"Newberg, OR (USA)",31 JUL 2020,1156,2020
48,216.039,Baptiste MISCHLER,1997-11-23,FRA,"Stade Delort, Marseille (FRA)",03 SEP 2020,1155,2020
49,216.04,Chris O'HARE,1990-11-23,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",28 FEB 2020,1208,2020
50,216.051,Brannon KIDDER,1993-11-18,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1206,2020
51,216.054,Samuel PRAKEL,1994-10-29,USA,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1153,2020
52,216.059,Mohamed KATIR,1998-02-17,ESP,Castellón (ESP),24 AUG 2020,1153,2020
53,216.072,George MILLS,1999-05-12,GBR,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1151,2020
54,216.082,Abraham ALVARADO,1995-08-04,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1202,2020
55,216.083,Tripp HURT,1992-10-30,USA,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1149,2020
56,216.09199999999998,Joshua LAY,2000-04-11,GBR,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1148,2020
57,216.095,Nassim HASSAOUS,1994-03-23,ESP,Castellón (ESP),24 AUG 2020,1148,2020
58,216.097,Boaz KIPRUGUT,1998-05-18,KEN,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1147,2020
59,217.012,Sean MCGORTY,1995-03-08,USA,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1145,2020
59,217.012,Colby ALEXANDER,1991-06-13,USA,"Bethel HS, Bethel, CT (USA)",13 SEP 2020,1145,2020
61,217.013,Salim KEDDAR,1993-11-23,ALG,"Stade des Maradas, Cergy-Pontoise (FRA)",19 SEP 2020,1145,2020
62,217.015,Hamza DRIOUCH,1994-11-16,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1145,2020
63,217.016,Willy FINK,1994-03-07,USA,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1145,2020
64,217.02,Matthew HUGHES,1989-08-03,CAN,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1144,2020
65,217.036,William KINCAID,1992-09-21,USA,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1142,2020
66,217.042,Morgan MCDONALD,1996-04-23,AUS,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1141,2020
67,217.043,Mahadi ABDI ALI,1995-11-08,NED,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1141,2020
68,217.046,Jonas RAESS,1994-03-08,SUI,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1141,2020
69,217.055,Joe KLECKER,1996-11-16,USA,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1140,2020
70,217.05599999999998,Johan ROGESTEDT,1993-01-27,SWE,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1139,2020
71,217.059,Vincent Kibet KETER,2002-03-11,KEN,"Nyayo National Stadium, Nairobi (KEN)",03 OCT 2020,1139,2020
72,217.06,Isaac KIMELI,1994-03-09,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1139,2020
73,217.064,Graham CRAWFORD,1992-12-29,USA,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1138,2020
74,217.07,Yani KHELAF,1998-02-07,FRA,"Stade Delort, Marseille (FRA)",03 SEP 2020,1138,2020
75,217.08100000000002,Izaic YORKS,1994-04-17,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",28 FEB 2020,1188,2020
76,217.084,Tom ELMER,1997-04-01,SUI,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1136,2020
77,217.089,Ismael DEBJANI,1990-09-25,BEL,"Stade du Parc de la Dodaine, Nivelles (BEL)",07 AUG 2020,1135,2020
78,217.09300000000002,David BUSTOS,1990-08-25,ESP,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1134,2020
79,217.098,Andrew COSCORAN,1996-06-18,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1185,2020
80,218.001,Simas BERTAŠIUS,1993-10-31,LTU,"Golęcin Stadion, Poznan (POL)",11 SEP 2020,1133,2020
81,218.003,Rob NAPOLITANO,1994-11-03,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",28 FEB 2020,1184,2020
81,218.003,Djilali BEDRANI,1993-10-01,FRA,"Stade municipal Les Quéfets, Tournefeuille (FRA)",08 AUG 2020,1133,2020
83,218.004,Marc TORTELL,1997-12-26,GER,Castellón (ESP),24 AUG 2020,1133,2020
83,218.004,Joao BUSSOTTI NEVES,1993-05-10,ITA,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1133,2020
83,218.004,Samuel TANNER,2000-08-24,NZL,"Cooks Gardens, Whanganui (NZL)",01 DEC 2020,1133,2020
86,218.015,Tim VAN DE VELDE,2000-02-01,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1131,2020
87,218.016,Ryan HILL,1990-01-31,USA,"Jesuit High School Track, Portland, OR (USA)",21 JUL 2020,1131,2020
88,218.026,Paul ROBINSON,1991-05-24,IRL,"Sports Park Mladost, Zagreb (CRO)",15 SEP 2020,1130,2020
89,218.027,Vincent KIBET,1991-05-06,KEN,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1130,2020
90,218.029,Marius PROBST,1995-08-20,GER,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1130,2020
91,218.03,Eric AVILA,1989-10-03,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",28 FEB 2020,1181,2020
91,218.03,Neil GOURLEY,1995-02-07,GBR,"Olympiastadion, Stockholm (SWE)",23 AUG 2020,1129,2020
93,218.03300000000002,Ronald KWEMOI,1995-09-19,KEN,"Athletics Stadium, Shibetsu (JPN)",04 JUL 2020,1129,2020
94,218.053,Yassin BOUIH,1996-11-24,ITA,"Stadio Comunale, Bellinzona (SUI)",15 SEP 2020,1126,2020
95,218.055,Kebede ENDALE,2000-06-22,ETH,Val-de-Reuil (FRA) (i),14 FEB 2020,1177,2020
96,218.06900000000002,Mikael JOHNSEN,1992-02-04,DEN,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1124,2020
96,218.06900000000002,Adam KSZCZOT,1989-09-02,POL,"Golęcin Stadion, Poznan (POL)",11 SEP 2020,1124,2020
98,218.07,Henry WYNNE,1995-04-18,USA,"Newberg, OR (USA)",31 JUL 2020,1124,2020
99,218.073,Hugo HAY,1997-03-28,FRA,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1124,2020
100,218.083,Mohamed ABDILAAHI,1999-03-24,GER,"Willy-Lemkens-Sportpark, Sonsbeck (GER)",19 JUL 2020,1122,2020
